iter	RMSE
0	0.3888664899
1	0.3759177243
2	0.3634800563
3	0.3517731463
4	0.341599362
5	0.3309046822
6	0.3209227807
7	0.3124808031
8	0.3027889488
9	0.2941989942
10	0.2855905562
11	0.2777120842
12	0.2698497987
13	0.2630632027
14	0.2565704925
15	0.2504630464
16	0.2446031202
17	0.2392738423
18	0.2335284558
19	0.2281445592
20	0.2229040268
21	0.2174837509
22	0.2128996207
23	0.2082793549
24	0.2034506447
25	0.1990504031
26	0.1950641276
27	0.1917642189
28	0.1879627721
29	0.184260427
30	0.1811166415
31	0.1779980588
32	0.1750934827
33	0.1718948178
34	0.1689970004
35	0.16631055
36	0.1641713165
37	0.1618295424
38	0.1594529728
39	0.1574229129
40	0.1554604171
41	0.1536830593
42	0.1518722155
43	0.1500024064
44	0.1482458162
45	0.1466261773
46	0.1451599699
47	0.1435371116
48	0.1421928432
49	0.140723608
50	0.1392929047
51	0.1381109351
52	0.1367697145
53	0.135676667
54	0.1345223236
55	0.1333010017
56	0.1323177642
57	0.1312684054
58	0.1302171094
59	0.1293959458
60	0.1285089882
61	0.1275946417
62	0.1268298329
63	0.1259986682
64	0.1252812654
65	0.1243839808
66	0.12352291
67	0.1226454813
68	0.1220228036
69	0.1213825163
70	0.1207182184
71	0.1200431027
72	0.1194379718
73	0.1187941444
74	0.1182857229
75	0.1176770509
76	0.1172152696
77	0.1167914978
78	0.1162842021
79	0.1157913557
80	0.1152687779
81	0.1147989513
82	0.1142941628
83	0.1136138118
84	0.1131075087
85	0.1126039854
86	0.1121044998
87	0.1117666715
88	0.1112353484
89	0.1108338391
90	0.1105569077
91	0.1101963023
92	0.1098710497
93	0.109412137
94	0.1090037209
95	0.1086338621
96	0.1082137628
97	0.1078716639
98	0.1075720484
99	0.1072460357
100	0.1068625173
101	0.1065345021
102	0.1062217686
103	0.1059213008
104	0.1057895871
105	0.1055758356
106	0.1053312229
107	0.1049891798
108	0.1047590202
109	0.1044961219
110	0.1043024473
111	0.103948927
112	0.1036604471
113	0.103280281
114	0.1030220033
115	0.1027299019
116	0.1023833831
117	0.1020898521
118	0.1018518209
119	0.1016196769
120	0.1013115636
121	0.1010315835
122	0.1008249141
123	0.1006301033
124	0.100354609
125	0.1000396021
126	0.09985510446
127	0.09966617379
128	0.0994461337
129	0.09917658737
130	0.09897463296
131	0.09872262724
132	0.09849949044
133	0.09827881787
134	0.0980089864
135	0.09778756241
136	0.09762248482
137	0.09742612632
138	0.09718060819
139	0.09695473451
140	0.09673945787
141	0.09656679389
142	0.09632314266
143	0.09610021585
144	0.09594217484
145	0.09567564681
146	0.09545580295
147	0.09522884719
148	0.09509609333
149	0.09483995772
150	0.0945688526
151	0.09434947856
152	0.09413027651
153	0.09391562583
154	0.09378121351
155	0.09365845961
156	0.0934863584
157	0.09337373067
158	0.09319349854
159	0.0929534904
160	0.09275257336
161	0.0926801885
162	0.0924251882
163	0.09222013424
164	0.09205986566
165	0.09183625398
166	0.09161204169
167	0.09143412961
168	0.09129051491
169	0.09106752908
170	0.09091433136
171	0.09068041471
172	0.09060362878
173	0.09048629313
174	0.09034753573
175	0.09025742829
176	0.09003917199
177	0.089800997
178	0.08971056311
179	0.08953545787
180	0.08932261784
181	0.08910056208
182	0.08903682701
183	0.08881248776
184	0.08867140196
185	0.08853583099
186	0.08829958907
187	0.08815892156
188	0.08800906143
189	0.08792813634
190	0.08778913178
191	0.08772492704
192	0.08747371053
193	0.0872992894
194	0.08712864353
195	0.0869584093
196	0.08675810213
197	0.08660577004
198	0.08651718365
199	0.08637734368
200	0.08628187319
201	0.0862182752
202	0.08603167953
203	0.08597942942
204	0.08584166139
205	0.08579247478
206	0.08572708032
207	0.08559227636
208	0.0854799245
209	0.08543621034
210	0.08522945225
211	0.0850175776
212	0.0849521494
213	0.08473865179
214	0.08458600034
215	0.08441087206
216	0.08433434353
217	0.08430045446
218	0.08409153049
219	0.08390147265
220	0.08386237732
221	0.08369648079
222	0.08365844977
223	0.08361974731
224	0.08353585421
225	0.08344587149
226	0.08336365418
227	0.0833259072
228	0.08303643521
229	0.08284969675
230	0.0828139917
231	0.08273291272
232	0.08259527434
233	0.0824594991
234	0.08228327288
235	0.08212887023
236	0.08187030779
237	0.08175260014
238	0.08163271936
239	0.08158270241
240	0.08140416689
241	0.08120899277
242	0.08109277158
243	0.08098280258
244	0.0809495021
245	0.08079167116
246	0.08053855222
247	0.08037832492
248	0.08023386491
249	0.08010562795
250	0.07988128067
251	0.07966296445
252	0.07939417364
253	0.07934413604
254	0.07910303731
255	0.07896921412
256	0.0788550995
257	0.07882248234
258	0.078722788
259	0.07854848158
260	0.07836094059
261	0.07815998381
262	0.07801029869
263	0.0778526802
264	0.07769800334
265	0.07761852708
266	0.07759790025
267	0.077455268
268	0.07728558511
269	0.07708777663
270	0.07693481552
271	0.07691163279
272	0.07673706393
273	0.07654172346
274	0.07645861402
275	0.07634451848
276	0.07616042097
277	0.07611691982
278	0.0760950076
279	0.07596976291
280	0.07582868076
281	0.07573938726
282	0.07566190918
283	0.07555023624
284	0.07537971943
285	0.07521842415
286	0.07519085295
287	0.07511146858
288	0.07496020973
289	0.0748694836
290	0.07484613917
291	0.0747717426
292	0.07464874006
293	0.07447042728
294	0.07435911997
295	0.07427178744
296	0.07410753637
297	0.07394222471
298	0.07389157327
299	0.07377087602
300	0.07365825386
301	0.07363701509
302	0.07357315458
303	0.07355820904
304	0.0735343131
305	0.07337776688
306	0.07326919603
307	0.0731241302
308	0.07295094022
309	0.07280606764
310	0.07262413276
311	0.0724781763
312	0.07237328599
313	0.07235882978
314	0.0722313733
315	0.07209494883
316	0.07208462535
317	0.07192526644
318	0.07178431271
319	0.07165423775
320	0.07164076099
321	0.07163168801
322	0.07152080555
323	0.07134407879
324	0.07115074327
325	0.07104779352
326	0.07098469148
327	0.07087049316
328	0.0707825874
329	0.07061615879
330	0.07048671338
331	0.07034887636
332	0.07026567371
333	0.07010294538
334	0.07000642072
335	0.06987795559
336	0.06971478349
337	0.06962819928
338	0.06950750733
339	0.06947409042
340	0.06933680028
341	0.06922182634
342	0.06909627444
343	0.06900417296
344	0.06894909187
345	0.0688276087
346	0.06867879683
347	0.06860515794
348	0.06849356876
349	0.06838441317
350	0.06825276362
351	0.06812994205
352	0.06801768097
353	0.06793377184
354	0.06778611496
355	0.06763157481
356	0.06751791284
357	0.06742437209
358	0.06728533753
359	0.06716446892
360	0.06703272514
361	0.06699173649
362	0.06690762902
363	0.06674605621
364	0.06662255514
365	0.06648829259
366	0.06637354989
367	0.06621554462
368	0.0661000332
369	0.06599232893
370	0.06592909426
371	0.06580287114
372	0.06566553014
373	0.06555458237
374	0.06553039143
375	0.065499075
376	0.06540894
377	0.0652568699
378	0.06517828519
379	0.06504602767
380	0.06502471842
381	0.06491359487
382	0.06473256062
383	0.06462534126
384	0.06454217008
385	0.06447561596
386	0.06434083048
387	0.06428987921
388	0.06418408949
389	0.06407733947
390	0.06394916497
391	0.06389963493
392	0.06381568386
393	0.06375060841
394	0.06368070553
395	0.06362004749
396	0.063577008
397	0.06348497138
398	0.06342071053
399	0.06338319952
400	0.06330115205
401	0.06321414921
402	0.06314680876
403	0.06301687041
404	0.06294229836
405	0.06283298583
406	0.06270478741
407	0.06259679499
408	0.0625402615
409	0.06247949959
410	0.0623106531
411	0.06222466519
